Rk,Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,PF,PA,PD,PC,Cmp,Att,Cmp%,Yds,TD,Int,Sk,Yds,Rate
119,GNB,2017,2017-09-24,04:25:00 AM,03:25:00 AM,,CIN,3,3,Sun,W 27-24,OT,27,24,3,51,28,42,66.7,280,3,1,6,33,102.6
120,HOU,2010,2010-09-19,04:15:00 AM,04:15:00 AM,@,WAS,2,2,Sun,W 30-27,OT,30,27,3,57,38,52,73.1,468,3,1,5,29,114
121,HOU,2013,2013-09-09,10:25:00 AM,07:25:00 AM,@,SDG,1,1,Mon,W 31-28,,31,28,3,59,34,45,75.6,329,3,1,2,17,110
122,HOU,2019,2019-10-27,04:25:00 AM,03:25:00 AM,,OAK,8,8,Sun,W 27-24,,27,24,3,51,27,39,69.2,258,3,0,3,21,115.2
123,JAX,2005,2005-11-20,01:02:00 AM,12:02:00 PM,@,TEN,11,10,Sun,W 31-28,,31,28,3,59,22,38,57.9,246,3,0,2,12,104.9
124,KAN,1990,1990-11-25,04:00:00 AM,01:00:00 AM,@,RAI,12,11,Sun,W 27-24,,27,24,3,51,12,21,57.1,142,3,0,1,7,118.8
125,KAN,1994,1994-10-17,09:00:00 AM,07:00:00 AM,@,DEN,7,6,Mon,W 31-28,,31,28,3,59,34,54,63,393,3,1,0,0,95.7
126,KAN,2020,2020-11-29,04:25:00 AM,04:25:00 AM,@,TAM,12,11,Sun,W 27-24,,27,24,3,51,37,50,74,456,3,0,2,6,122.2
127,KAN,2020,2020-12-20,04:25:00 AM,03:25:00 AM,@,NOR,15,14,Sun,W 32-29,,32,29,3,61,26,47,55.3,232,3,0,4,22,92
128,MIA,1971,1971-11-14,01:00:00 AM,01:00:00 AM,,PIT,9,9,Sun,W 24-21,,24,21,3,45,9,16,56.3,189,3,2,4,43,101
129,MIA,1985,1985-10-20,04:00:00 AM,04:00:00 AM,,TAM,7,7,Sun,W 41-38,,41,38,3,79,27,39,69.2,302,3,1,0,0,107
130,MIA,1996,1996-12-22,01:00:00 AM,01:00:00 AM,@,NYJ,17,16,Sun,W 31-28,,31,28,3,59,20,43,46.5,259,3,0,1,3,89.5
131,MIA,2016,2016-12-11,01:00:00 AM,01:00:00 AM,,ARI,14,13,Sun,W 26-23,,26,23,3,49,18,25,72,231,3,1,1,11,125.3
